beta,Ntot,n_s,n_r,mu_s,mu_r,V_offset,mu_glob,s2_s,s2_r,sigma2_s,sigma2_r,S2_tot,varsigma,file_mtime,V,shift,tp
0.0,16,0.32,0.0,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,17,0.32,0.020000000000000018,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,18,0.32,0.03999999999999998,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,19,0.32,0.06,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,20,0.32,0.08000000000000002,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,21,0.32,0.09999999999999998,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,22,0.32,0.12,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,23,0.32,0.14,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,24,0.32,0.15999999999999998,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,25,0.32,0.18,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,26,0.32,0.2,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,27,0.32,0.22000000000000003,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,28,0.32,0.24000000000000005,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,29,0.32,0.25999999999999995,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,30,0.32,0.27999999999999997,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,31,0.32,0.3,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,32,0.32,0.32,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,33,0.32,0.34,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,34,0.32,0.36000000000000004,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,35,0.32,0.37999999999999995,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,36,0.32,0.39999999999999997,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,37,0.32,0.42,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,38,0.32,0.44,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,39,0.32,0.46,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,40,0.32,0.48000000000000004,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,41,0.32,0.49999999999999994,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,42,0.32,0.52,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,43,0.32,0.54,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,44,0.32,0.56,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,45,0.32,0.5800000000000001,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,46,0.32,0.6000000000000001,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,47,0.32,0.6199999999999999,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,48,0.32,0.6399999999999999,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,49,0.32,0.6599999999999999,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,50,0.32,0.6799999999999999,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,51,0.32,0.7,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,52,0.32,0.72,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,53,0.32,0.74,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,54,0.32,0.76,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,55,0.32,0.78,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,56,0.32,0.8,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,57,0.32,0.8199999999999998,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,58,0.32,0.8399999999999999,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
0.0,59,0.32,0.8599999999999999,,,,,,,,,,,1764989772.0,0.1,-2,1.41421356237
