beta,Ntot,n_s,n_r,mu_s,mu_r,V_offset,mu_glob,s2_s,s2_r,sigma2_s,sigma2_r,S2_tot,varsigma,file_mtime,V,shift,tp
0.0,16,0.32,0.0,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,17,0.32,0.020000000000000018,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,18,0.32,0.03999999999999998,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,19,0.32,0.06,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,20,0.32,0.08000000000000002,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,21,0.32,0.09999999999999998,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,22,0.32,0.12,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,23,0.32,0.14,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,24,0.32,0.15999999999999998,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,25,0.32,0.18,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,26,0.32,0.2,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,27,0.32,0.22000000000000003,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,28,0.32,0.24000000000000005,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,29,0.32,0.25999999999999995,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,30,0.32,0.27999999999999997,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,31,0.32,0.3,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,32,0.32,0.32,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,33,0.32,0.34,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,34,0.32,0.36000000000000004,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,35,0.32,0.37999999999999995,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,36,0.32,0.39999999999999997,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,37,0.32,0.42,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,38,0.32,0.44,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,39,0.32,0.46,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,40,0.32,0.48000000000000004,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,41,0.32,0.49999999999999994,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,42,0.32,0.52,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,43,0.32,0.54,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,44,0.32,0.56,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,45,0.32,0.5800000000000001,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,46,0.32,0.6000000000000001,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,47,0.32,0.6199999999999999,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,48,0.32,0.6399999999999999,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,49,0.32,0.6599999999999999,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,50,0.32,0.6799999999999999,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,51,0.32,0.7,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,52,0.32,0.72,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,53,0.32,0.74,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,54,0.32,0.76,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,55,0.32,0.78,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,56,0.32,0.8,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,57,0.32,0.8199999999999998,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,58,0.32,0.8399999999999999,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,59,0.32,0.8599999999999999,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,60,0.32,0.8799999999999999,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,61,0.32,0.8999999999999999,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,62,0.32,0.9199999999999999,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,63,0.32,0.94,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,64,0.32,0.96,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,65,0.32,0.98,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.0,66,0.32,1.0,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,16,0.32,0.0,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,17,0.32,0.020000000000000018,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,18,0.32,0.03999999999999998,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,19,0.32,0.06,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,20,0.32,0.08000000000000002,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,21,0.32,0.09999999999999998,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,22,0.32,0.12,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,23,0.32,0.14,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,24,0.32,0.15999999999999998,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,25,0.32,0.18,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,26,0.32,0.2,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,27,0.32,0.22000000000000003,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,28,0.32,0.24000000000000005,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,29,0.32,0.25999999999999995,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,30,0.32,0.27999999999999997,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,31,0.32,0.3,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,32,0.32,0.32,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,33,0.32,0.34,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,34,0.32,0.36000000000000004,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,35,0.32,0.37999999999999995,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,36,0.32,0.39999999999999997,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,37,0.32,0.42,,-4.366337975505367,,-4.366337975505367,,0.6627923488615457,,78.90385105494592,,,1765078400.0,-0.1,-2,1.41421356237
0.1,38,0.32,0.44,,-3.551667510578613,,-3.551667510578613,,0.6735641553348064,,76.54138128804618,,,1765078400.0,-0.1,-2,1.41421356237
0.1,39,0.32,0.46,,-2.7445882240469865,,-2.7445882240469865,,0.6815075196501933,,74.07690430980361,,,1765078400.0,-0.1,-2,1.41421356237
0.1,40,0.32,0.48000000000000004,,-1.9428804095133194,,-1.9428804095133194,,0.6865832864974503,,71.5190923434844,,,1765078400.0,-0.1,-2,1.41421356237
0.1,41,0.32,0.49999999999999994,,-1.1443877840011045,,-1.1443877840011045,,0.688035687858096,,68.80356878580962,,,1765078400.0,-0.1,-2,1.41421356237
0.1,42,0.32,0.52,,-0.3458301716380675,,-0.3458301716380675,,0.6868204531473338,,66.04042818724362,,,1765078400.0,-0.1,-2,1.41421356237
0.1,43,0.32,0.54,,0.4552061071561823,,0.4552061071561823,,0.6821691804059317,,63.163813000549226,,,1765078400.0,-0.1,-2,1.41421356237
0.1,44,0.32,0.56,,1.2626537421393746,,1.2626537421393746,,0.67398539031144,,60.17726699209285,,,1765078400.0,-0.1,-2,1.41421356237
0.1,45,0.32,0.5800000000000001,,2.0761337686219457,,2.0761337686219457,,0.6635109207111367,,57.19921730268419,,,1765078400.0,-0.1,-2,1.41421356237
0.1,46,0.32,0.6000000000000001,,2.9012523475821475,,2.9012523475821475,,0.6497771262399744,,54.1480938533312,,,1765078400.0,-0.1,-2,1.41421356237
0.1,47,0.32,0.6199999999999999,,3.741435197041518,,3.741435197041518,,0.6330879807625579,,51.05548231956113,,,1765078400.0,-0.1,-2,1.41421356237
0.1,48,0.32,0.6399999999999999,,4.598617338567597,,4.598617338567597,,0.6138581047337914,,47.95766443232746,,,1765078400.0,-0.1,-2,1.41421356237
0.1,49,0.32,0.6599999999999999,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,50,0.32,0.6799999999999999,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,51,0.32,0.7,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,52,0.32,0.72,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,53,0.32,0.74,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,54,0.32,0.76,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,55,0.32,0.78,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,56,0.32,0.8,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
0.1,57,0.32,0.8199999999999998,,,,,,,,,,,1765078400.0,-0.1,-2,1.41421356237
